,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
90,Studio Sirah,2020.0,Bangalore,Communication Services,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000.0,Unstated,2021,Tech
91,OTO Capital,2018.0,Mumbai,Information Technology,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,Unstated,2021,Tech
92,1Bridge,2016.0,Bangalore,Consumer Discretionary,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,Unstated,2021,Non-tech
93,Skeps,2018.0,Gurugram,Information Technology,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,Unstated,2021,Tech
94,Curefoods,2020.0,Bangalore,Customer Staples,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Unstated,2021,Non-tech
95,TartanSense,2015.0,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Unstated,2021,Tech
96,Bewakoof,2012.0,Mumbai,Information Technology,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,Unstated,2021,Non-tech
97,Kirana247,2018.0,New Delhi,Financials,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000.0,Unstated,2021,Non-tech
98,FanPlay,2020.0,Bangalore,Communication Services,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",1200000.0,Others,2021,Tech
100,IsGoingOnline,2015.0,Cochin,Consumer Discretionary,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Unstated,2021,Non-tech
101,Camp K12,2010.0,Gurugram,Information Technology,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Unstated,2021,Tech
102,Elda Health,2020.0,Bangalore,Health Care,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000.0,Unstated,2021,Non-tech
103,Sporjo,2020.0,Mumbai,Information Technology,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,Unstated,2021,Non-tech
104,Advantage Club,2014.0,Mumbai,Information Technology,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,Unstated,2021,Non-tech
105,SuperGaming,2017.0,Pune,Consumer Discretionary,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Unstated,2021,Non-tech
106,Ruptok,2020.0,New Delhi,Information Technology,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Unstated,2021,Tech
120,O’ Be Cocktails,2019.0,Bangalore,Customer Staples,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,"First Cheque, Letsventure",400000.0,Unstated,2021,Non-tech
121,Zetwerk,2018.0,Bangalore,Industrials,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",,150000000.0,Later stage,2021,Non-tech
122,AppsForBharat,2020.0,Bangalore,Consumer Discretionary,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000.0,Seed,2021,Non-tech
124,Khatabook,2018.0,Bangalore,Financials,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Series C,2021,Non-tech
125,Smytten,2015.0,Gurugram,Consumer Discretionary,India's largest premium discovery and trial platform!,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000.0,Series A,2021,Non-tech
126,Syook,2016.0,Bangalore,Information Technology,Syook is building the next generation enterprise IOT platform.,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",1000000.0,Series A,2021,Non-tech
128,NOTO,2019.0,Mumbai,Consumer Discretionary,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.","Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",500000.0,Pre series,2021,Non-tech
129,Lumiq,2013.0,Noida,Information Technology,Help enterprises monetize their data and reinvent the digital transformation journey.,Shoaib Mohammad,Info Edge Ventures,2000000.0,Seed,2021,Tech
131,Breathe Well-being,2015.0,Gurugram,Health Care,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,5500000.0,Series A,2021,Tech
133,House of Kieraya,2013.0,Bangalore,Materials,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",Ajith Mohan Karimpana,TradeCred,15000000.0,Unstated,2021,Non-tech
134,goEgoNetwork,2019.0,Pune,Information Technology,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",,2000000.0,Unstated,2021,Non-tech
135,Probus,2017.0,New Delhi,Information Technology,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.","Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,500000.0,Others,2021,Tech
136,DrinkPrime,2016.0,Bangalore,Consumer Discretionary,India's Smartest Water Purifiers and are redefining water purifier ownership.,Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000.0,Unstated,2021,Non-tech
137,Smart Express,,Mumbai,Industrials,India’s Most Innovative and Awarded Express Logistics Company.,Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",10000000.0,Seed,2021,Non-tech
138,Smallcase,2015.0,Bangalore,Information Technology,Smallcase is a new way to invest in the stock markets.,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000.0,Series C,2021,Tech
139,SATYA MicroCapital,2017.0,New Delhi,Financials,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Vivek Tiwari,"responsAbility Investments, Blue Orchard",10000000.0,Unstated,2021,Non-tech
141,Postman,2014.0,Bangalore,Information Technology,Postman is the collaboration platform for API development.,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners",225000000.0,Later stage,2021,Tech
142,Hashnode,2016.0,Bangalore,Information Technology,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",6700000.0,Series A,2021,Tech
143,RACEnergy,2018.0,Hyderabad,Information Technology,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy,"Micelio Fund, growX ventures",1300000.0,Seed,2021,Non-tech
144,BharatPe,2018.0,New Delhi,Information Technology,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",20000000.0,Others,2021,Tech
145,Gyde,2019.0,Pune,Information Technology,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",250000.0,Seed,2021,Tech
147,AgNext,2016.0,Chandigarh,Information Technology,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000.0,Series A,2021,Tech
148,Xpresslane,2019.0,Bangalore,Information Technology,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",Ashwin Koorakula,"Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.",400000.0,Pre seed,2021,Tech
149,LoanKuber,2016.0,New Delhi,Information Technology,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Saurabh Nagpal,,1200000.0,Pre series,2021,Non-tech
150,OYO,2013.0,Gurugram,Health Care,OYO is a global travel tech company that connects its patrons and guests.,Ritesh Agarwal,Microsoft,5000000.0,Later stage,2021,Non-tech
