,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
2323,WishADish,,Delhi,Information Technology,Provides management solution for restaurants,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000.0,Unstated,2019,Non-tech
2324,Ecom Express,2012.0,Gurugram,Industrials,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000.0,Unstated,2019,Non-tech
2325,Stanza Living,2017.0,Delhi,Information Technology,Provides comfortable and secure accomodation for students,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000.0,Unstated,2019,Non-tech
2326,PiBeam,,Chennai,Information Technology,It is engaged in building sustainable and affordable micro-mobility electric vehicles,Visakh Sasikumar,GAIL (India) Ltd,50000000.0,Unstated,2019,Non-tech
2327,Euler Motors,,Delhi,Information Technology,It is offering mobility as a service,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000.0,Unstated,2019,Non-tech
2328,Moms Co,,New Delhi,Consumer Discretionary,It is into mother and baby care-focused consumer goods,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2019,Tech
2330,Lawyered,2015.0,Delhi,Information Technology,It helps to connect to legal advise online,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,Unstated,2019,Tech
2331,Cuemath,2013.0,Bangalore,Information Technology,It helps students to learn math online,Manan Khurma,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Unstated,2019,Tech
2332,Licious,2015.0,Bangalore,Customer Staples,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Later stage,2019,Non-tech
2333,Nivesh.com,2016.0,Noida,Financials,The platform simplifies the process of investment,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000.0,Unstated,2019,Non-tech
2334,Zebu,2015.0,Unstated,Financials,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Team of Waterloo-based software developers,Undisclosed,4000000.0,Seed,2019,Tech
2335,Smart Institute,,Surat,Information Technology,A platform to learn online,,HNI investors,1500000.0,Unstated,2019,Tech
2336,CarDekho,2008.0,Jaipur,Information Technology,Enables people to buy and sell new/old cars.,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Later stage,2019,Non-tech
2337,Shadowfax,2015.0,Bangalore,Industrials,A platform for delivery services,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Later stage,2019,Non-tech
2338,Credr,2014.0,Mumbai,Information Technology,A marketplace to buy and sell used bikes and scooters,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Unstated,2019,Non-tech
2340,Phable,2018.0,Unstated,Information Technology,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Unstated,2019,Tech
2341,Sarva,,Chennai,Consumer Discretionary,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000.0,Unstated,2019,Non-tech
2342,IndyFint,2019.0,Bangalore,Financials,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Paddy Padmanabhan,Saravanan Adiseshan,2100000.0,Series A,2019,Non-tech
2343,Zolostays,2015.0,Unstated,Information Technology,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000.0,Unstated,2019,Non-tech
2344,Ola,2010.0,Bangalore,Consumer Discretionary,It enables one to book cab online,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000.0,Unstated,2019,Non-tech
2345,Zoomcar,2013.0,Bangalore,Consumer Discretionary,A car rental service platform,"Greg Moran, David Back",Zoomcar Inc,4800000.0,Unstated,2019,Non-tech
2346,Kratikal,,Uttar pradesh,Information Technology,Provides cyber security solutions,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre series,2019,Tech
2347,Froogal,,Hyderabad,Financials,A cloud based Customer Loyalty & Engagement Platform,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000.0,Pre series,2019,Non-tech
2348,Infra.Market,,Mumbai,Information Technology,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019,Non-tech
2349,Oyo,2013.0,Gurugram,Health Care,Provides rooms for comfortable stay,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,Unstated,2019,Non-tech
2350,GoMechanic,2016.0,Delhi,Information Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000.0,Series B,2019,Non-tech
2351,Spinny,2015.0,Delhi,Information Technology,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Unstated,2019,Non-tech
2352,Ess Kay Fincorp,,Rajasthan,Financials,Organised Non-Banking Finance Company,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Unstated,2019,Non-tech
2353,TheCollegeFever,,Bangalore,Financials,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,,250000.0,Seed,2018,Non-tech
2354,Happy Cow Dairy,,Mumbai,Information Technology,A startup which aggregates milk from dairy farmers in rural Maharashtra.,,,584000.0,Seed,2018,Non-tech
2355,MyLoanCare,,Gurgaon,Financials,Leading Online Loans Marketplace in India,,,949000.0,Series A,2018,Non-tech
2356,PayMe India,,Noida,Financials,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,,2000000.0,Seed,2018,Non-tech
2358,Hasura,,Bengaluru,Information Technology,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",,,1600000.0,Seed,2018,Non-tech
2359,Tripshelf,,Kalkaji,Information Technology,Tripshelf is an online market place for holiday packages.,,,233600.0,Seed,2018,Non-tech
2360,Hyperdata.IO,,Hyderabad,Communication Services,Hyperdata combines advanced machine learning with human intelligence.,,,730000.0,Seed,2018,Non-tech
2368,Pitstop,,Bengaluru,Information Technology,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,,1460000.0,Seed,2018,Non-tech
2369,Mihuru,,Mumbai,Financials,Mihuru is an online platform which gives micro loans for air travel .,,,150000.0,Seed,2018,Non-tech
2370,Fyle,,Bengaluru,Information Technology,Fyle is an intelligent expense management platform for enterprises.,,,1100000.0,Seed,2018,Non-tech
2372,Antariksh Waste Ventures Pvt ltd,,Chennai,Information Technology,Waste Management for Smart Cities,,,7300.0,Seed,2018,Non-tech
2373,Cogoport,,Mumbai,Information Technology,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,,,6000000.0,Series A,2018,Non-tech
2374,PaisaDukan,,Mumbai,Financials,A P2P lending marketplace platform,,,650000.0,Seed,2018,Non-tech
2375,Sleepy Owl Coffee,,New Delhi,Information Technology,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",,,511000.0,Seed,2018,Non-tech
2376,BlueJack,,Delhi,Information Technology,Delhi-based online used vehicles marketplace.,,,934400.0,Seed,2018,Non-tech
2379,Pando,,Chennai,Industrials,A startup which digitizes logistics operations for Fortune 500 companies.,,,2000000.0,Seed,2018,Non-tech
2380,Mintifi,,Mumbai,Financials,Online lending startup based in Mumbai.,,,2000000.0,Seed,2018,Non-tech
2381,Carcrew,,Mumbai,Information Technology,India's Online Auto Repair Marketplace,,,2000000.0,Seed,2018,Non-tech
2383,Chariot Tech,,New Delhi,Information Technology,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,,,292000.0,Seed,2018,Non-tech
2384,Ideal Insurance Brokers/ 121Policy.com,,Kolkata,Financials,Ideal Insurance Broking is one of the leaders in insurance broking domain.,,,1000000.0,Seed,2018,Non-tech
2386,Mojro Technologies,,Bengaluru,Information Technology,Mojro envisions to be the world's largest technology-enabled logistics platform.,,,650000.0,Seed,2018,Tech
2387,Elemential,,Mumbai,Financials,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",,,1000000.0,Seed,2018,Non-tech
2388,Loadshare,,Bengaluru,Information Technology,LoadShare is India’s fastest growing logistics company,,,5000000.0,Series A,2018,Non-tech
2389,Yumlane,,Mumbai,Information Technology,Food startup Yumlane operated by QwikPik Technology,,,4000000.0,Series A,2018,Non-tech
2390,Kriger Campus,,New Delhi,Industrials,A Education Start Up.,,,438000.0,Seed,2018,Non-tech
2391,Pipa+Bella,,Mumbai,Consumer Discretionary,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,,,1000000.0,Series A,2018,Tech
2392,Kaleidofin,,Chennai,Financials,A fintech platform.,,,2800000.0,Seed,2018,Non-tech
2394,IndigoLearn,,Hyderabad,Information Technology,India's the premier education destination catering to the needs of aspiring students of the CA community.,,,150000.0,Seed,2018,Non-tech
2395,UClean,,Lucknow,Energy,UClean is a tech enabled laundry service provider.,,,584000.0,Seed,2018,Non-tech
2396,Coutloot,,Mumbai,Consumer Discretionary,The Fashion Re-commerce platform.,,,1000000.0,Seed,2018,Tech
2397,Letstrack,,New Delhi,Information Technology,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",,,1700000.0,Seed,2018,Non-tech
2399,Finzy,,Bangalore,Financials,finzy is the premier peer to peer lending solution in India.,,,1300000.0,Seed,2018,Non-tech
2400,Fitternity,,Mumbai,Consumer Discretionary,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,,,2000000.0,Seed,2018,Non-tech
2402,Tolet for Students,,Jodhpur,Health Care,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",,,73000.0,Seed,2018,Non-tech
2403,Chai Kings,,Chennai,Information Technology,Chai Kings is a tea retail chain,,,292000.0,Seed,2018,Non-tech
2404,Dainik Jagran,,Kanpur,Information Technology,Dainik Jagran is a media and communications group.,,,584000.0,Seed,2018,Non-tech
2405,Playtoome,,Bengaluru,Communication Services,Playtoome is a live entertainment destination,,,292000.0,Seed,2018,Non-tech
2406,ONGO Framework,,Hyderabad,Consumer Discretionary,ONGO Framework is a B2B IT and digital solution provider.,,,1000000.0,Seed,2018,Non-tech
2407,Notesgen,,New Delhi,Information Technology,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,,,182500.0,Seed,2018,Tech
2408,Arogya MedTech,,Kolkata,Health Care,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,,,219000.0,Seed,2018,Tech
2409,Propshop24,,Mumbai,Consumer Discretionary,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",,,500000.0,Seed,2018,Tech
2410,myUpchar,,New Delhi,Health Care,To bring health issues to people in their language.,,,5000000.0,Series A,2018,Tech
2411,MissMalini Entertainment,,Mumbai,Unstated,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",,,1518400.0,Seed,2018,Non-tech
2412,Rooter,,New Delhi,Consumer Discretionary,Rooter is a mobile-based platform,,,657000.0,Seed,2018,Non-tech
2413,ZestMoney,,Bangalore,Information Technology,Zest is India's first completely automated consumer digital lending platform.,,,13400000.0,Series A,2018,Non-tech
2415,MyDentistChoice,,Hyderabad,Health Care,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,,,500000.0,Seed,2018,Tech
2417,Sensibull,,Bangalore,Information Technology,Investment Management Platform,,,365000.0,Seed,2018,Non-tech
2419,MedCords,,Pune,Consumer Discretionary,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,,,385440.0,Seed,2018,Non-tech
2422,Enakshi,,Ahmedabad,Consumer Discretionary,Enakshi is an online apparel brand for women.,,,116800.0,Seed,2018,Non-tech
2423,Ultraviolette Automotive,,Bangalore,Information Technology,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,,,876.0,Series A,2018,Non-tech
2424,Inthree Access,,Chennai,Industrials,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,,,4000000.0,Series A,2018,Non-tech
2425,BUGWORKS Research India,,Bangalore,Information Technology,BUGWORKS is a drug discovery company.,,,9000000.0,Series A,2018,Non-tech
2427,PrestLoans,,New Delhi,Financials,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",,,100000.0,Seed,2018,Non-tech
2428,Wimoxez,,Hyderabad,Information Technology,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",,,20000.0,Seed,2018,Non-tech
2430,HappyEMI,,Bangalore,Consumer Discretionary,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,,,1000000.0,Seed,2018,Non-tech
2432,Hansel.io,,Bangalore,Financials,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",,,4000000.0,Series A,2018,Non-tech
2433,Propelld,,Bengaluru,Industrials,Propelld is a student education financing platform.,,,250000.0,Seed,2018,Non-tech
2435,ZiffyHomes,,New Delhi,Real Estate,ZiffyHomes is a technology driven marketplace to find out home on rent.,,,120000.0,Seed,2018,Non-tech
2436,Carmesi,,Gurgaon,Health Care,Carmesi is a brand of high-end menstrual-hygiene products in India.,,,496400.0,Seed,2018,Tech
2438,Racetrack,,Bangalore,Information Technology,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",,,4993200.0,Seed,2018,Non-tech
2439,WHR,,Pune,Health Care,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",,,143145.0,Seed,2018,Tech
2441,FabAlley,,Noida,Consumer Discretionary,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",,,8760000.0,Series B,2018,Tech
2443,SBI Life,,Mumbai,Financials,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,,,742000000.0,Equity,2018,Non-tech
2444,Studds Accessories,,Faridabad,Consumer Discretionary,Studds Accessories is a scooter accessories service provider in India,,,14600000.0,Equity,2018,Tech
2445,Design Cafe,,Bengaluru,Consumer Discretionary,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",,,29200000.0,Series B,2018,Non-tech
2446,NoPaperForms Solutions Pvt. Ltd.,,New Delhi,Information Technology,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",,,3980000.0,Series B,2018,Tech
2447,Rays Power Infra,,Jaipur,Energy,Rays Power Infra is a leading integrated Solar Power Company.,,,29200000.0,Others,2018,Non-tech
2448,AuthMetrik,,Gurgaon,Consumer Discretionary,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",,,10000.0,Equity,2018,Non-tech
2450,LetsTransport,,Bangalore,Industrials,Lets transport is a logistics solution provider.,,,14600000.0,Series B,2018,Non-tech
2451,Next Digital Solutions,,Kota,Financials,Next Digital Solutions is website design & Digital Marketing development company.,,,1460.0,Seed,2018,Non-tech
2452,Portea Medical,,Bangalore,Health Care,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,,,3650000.0,Others,2018,Tech
2453,Aavas Financiers,,Jaipur,Financials,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",,,29200000.0,Others,2018,Non-tech
2454,Swiggy,,Bangalore,Customer Staples,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,,,1000000000.0,Later stage,2018,Non-tech
2455,Milkbasket,,Haryana,Consumer Discretionary,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",,,7000000.0,Series A,2018,Tech
2457,Toppr,,Mumbai,Information Technology,Toppr.com is an online preparation platform for entrance exams in India.,,,35000000.0,Series C,2018,Tech
2458,Jagaran Microfin,,Kolkata,Unstated,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,,,8030000.0,Others,2018,Non-tech
2459,Vivriti Capital,,Chennai,Financials,Vivriti Capital is an online platform for institutional debt in India.,,,28500000.0,Others,2018,Non-tech
2460,Be U Salons,,New Delhi,Information Technology,Be U is India's first subscription based Salon Chain.,,,438000.0,Seed,2018,Non-tech
2461,Impact Guru,,Mumbai,Information Technology,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",,,2000000.0,Series A,2018,Non-tech
2462,MobiKwik,,Gurgaon,Consumer Discretionary,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,,,3504000.0,Later stage,2018,Non-tech
2466,DataTrained,,Bangalore,Information Technology,"DataTrained is a educational platform, which operates an ed-tech startup on data science",,,1752000.0,Seed,2018,Tech
2467,OneAssist,,Mumbai,Financials,OneAssist is a protection & assistance services platform.,,,2400000.0,Others,2018,Non-tech
2468,Satin Creditcare Network Limited (SCNL),,New Delhi,Financials,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,,,30000000.0,Others,2018,Non-tech
2469,APAC Financial Services,,Mumbai,Financials,APAC Financial Services is a financial services platform.,,,36500000.0,Equity,2018,Non-tech
2470,Moglix,,Noida,Consumer Discretionary,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",,,23000000.0,Series C,2018,Non-tech
2472,MadGuy Labs,,Hyderabad,Information Technology,MadGuy Labs is a Online Test-prep Platform.,,,150000.0,Others,2018,Non-tech
2475,Shop101,,Mumbai,Information Technology,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,,,11000000.0,Series B,2018,Non-tech
2476,FeedMyPockets,,Bangalore,Information Technology,On Demand Staffing Platform,,,642400.0,Seed,2018,Non-tech
2477,Housejoy,,Bengaluru,Consumer Discretionary,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,,,3240000.0,Series B,2018,Non-tech
2479,FoodBuddy,,Belgaum,Customer Staples,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",,,876000.0,Seed,2018,Non-tech
2480,Ninjacart,,Bengaluru,Information Technology,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,,,36500000.0,Series B,2018,Non-tech
2483,BYJU’S,,Bangalore,Information Technology,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,,,540000000.0,Equity,2018,Tech
2484,Wakefit,,Bangalore,Industrials,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,,,9490000.0,Others,2018,Non-tech
2485,Hero Electric,,New Delhi,Industrials,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",,,23360000.0,Others,2018,Non-tech
2487,PerkFinance,,Bangalore,Consumer Discretionary,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,,,900000.0,Seed,2018,Non-tech
2488,Roposo,,Gurgaon,Information Technology,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,,,10000000.0,Series C,2018,Non-tech
2491,Wow Venue,,Mumbai,Communication Services,Wow Venue is an online platform.,,,1500000.0,Others,2018,Non-tech
2493,OTO Capital,,Mumbai,Information Technology,OTO Capital is a platform that allows you to own a car faster than ever.,,,730000.0,Seed,2018,Non-tech
2494,Boodmo,,Gurgaon,Information Technology,boodmo.com - large online marketplace for auto parts in India.,,,1022000.0,Seed,2018,Non-tech
2496,MyNewCar.in,,Gurgaon,Information Technology,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,,,1000000.0,Others,2018,Non-tech
2497,HalaPlay Technologies,,Bangalore,Communication Services,A daily fantasy sports platform.,,,5000000.0,Series A,2018,Non-tech
2498,PlanetSpark,,Gurgaon,Information Technology,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,,,233600.0,Seed,2018,Non-tech
2499,WheelsEMI,,Pune,Unstated,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",,,14000000.0,Series B,2018,Non-tech
2500,Forum for Innovation Incubation Research and Entrepreneurship,,Margão,Information Technology,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",,,1496500.0,Equity,2018,Non-tech
2501,OYO,,Gurgaon,Health Care,OYO is an Indian hospitality startup that operates a network of budget hotels.,,,100000000.0,Later stage,2018,Non-tech
2502,Quikr,,Bangalore,Communication Services,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",,,8030000.0,Others,2018,Non-tech
2504,LearnApp,,Noida,Financials,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",,,292000.0,Seed,2018,Non-tech
2505,Shopkirana,,Indore,Consumer Discretionary,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,,,2000000.0,Others,2018,Tech
2507,Articbot,,Kannur,Information Technology,Articbot is a conversational AI platform for automated customer support and lead generation,,,17520.0,Equity,2018,Non-tech
2508,BuildSupply,,Gurgaon,Information Technology,India’s most advanced ERP system for the real estate,,,3650000.0,Series A,2018,Non-tech
2509,Fusion Microfinance,,New Delhi,Financials,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,,,75920000.0,Later stage,2018,Non-tech
2512,Guiddoo World,,Mumbai,Information Technology,We build In-Destination Experiences!,,,800000.0,Seed,2018,Non-tech
2513,ION Energy,,Mumbai,Energy,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,,,1041000.0,Others,2018,Non-tech
2514,UnoTag,,Bangalore,Information Technology,SaaS to verify counterfeit,,,100000.0,Pre seed,2018,Non-tech
2515,CivilCops,,Gurgaon,Consumer Discretionary,Gov-Tech,,,100000.0,Pre seed,2018,Non-tech
2517,Classworks India,,Chennai,Industrials,"Saas, Web App, Mobile App, School Education",,,1460.0,Unstated,2018,Non-tech
2519,artbandhu,,Bangalore,Communication Services,Ai platform for Art and Creative Community,,,15000.0,Pre seed,2018,Non-tech
2520,Survaider,,Bengaluru,Information Technology,Stethoscope for customer feedback !,,,500000.0,Seed,2018,Non-tech
2521,Credy,,Bengaluru,Financials,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,,,1400000.0,Seed,2018,Non-tech
2522,iChamp,,Gurgaon,Information Technology,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,,,5000000.0,Seed,2018,Non-tech
2523,Qandle,,Gurgaon,Information Technology,A cloud-based HR management and employee engagement platform.,,,1200000.0,Seed,2018,Tech
2524,Avishkaar Box,,Delhi,Consumer Discretionary,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",,,730000.0,Seed,2018,Non-tech
2526,HyperXchange,,Pune,Consumer Discretionary,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,,,1000000.0,Series A,2018,Tech
2528,Doodhwala,,Bengaluru,Customer Staples,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,,,2200000.0,Seed,2018,Non-tech
2529,DronaHQ,,Mumbai,Financials,DronaHQ is an enterprise mobile engagement platform.,,,500000.0,Seed,2018,Non-tech
2530,FastFox,,Gurgaon,Real Estate,FastFox: Market Network for Home Rentals (India),,,1460000.0,Series A,2018,Non-tech
2531,BuyForexOnline,,Bangalore,Consumer Discretionary,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,,,2000000.0,Others,2018,Non-tech
2532,Colive.in,,Bangalore,Consumer Discretionary,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,,,1800000.0,Seed,2018,Non-tech
2533,Agricxlab Private Limited,,Thane,Consumer Discretionary,Online marketplace where farmers and traders can sell their produce to B2B buyers,,,500000.0,Seed,2018,Non-tech
2535,Fincash.com,,Mumbai,Financials,A startup in the personal finance space in India .,,,150000.0,Seed,2018,Non-tech
2536,Pandorum Technologies,,Bengaluru,Information Technology,Bengaluru based biotech startup.,,,3600000.0,Series A,2018,Non-tech
2537,Shirsa Labs,,Mumbai,Industrials,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,,,500000.0,Seed,2018,Non-tech
2538,PetSutra,,Gurgaon,Health Care,Gurugram-based Online petcare platform.,,,138700.0,Seed,2018,Non-tech
2540,PinkBlue,,Bangalore,Health Care,PinkBlue.in - Super-efficient supply-chain for clinical supplies,,,300000.0,Seed,2018,Tech
2541,Eduvanz,,Mumbai,Financials,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",,,500000.0,Seed,2018,Non-tech
2542,Rupeek,,Bangalore,Financials,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,,,6830000.0,Series A,2018,Non-tech
2543,Backpacker Panda Holidays Private Limited,,Pune,Consumer Discretionary,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,,,1400000.0,Series A,2018,Non-tech
2544,Shape (School Health and Physical Education),,Pune,Industrials,Physical education start up,,,200000.0,Seed,2018,Non-tech
2545,Placio,,Noida,Health Care,Placio is a student housing and a complete broker-free platform.,,,2000000.0,Seed,2018,Non-tech
2546,Aviom India Housing Finance,,New Delhi,Financials,Delhi based housing finance company.,,,2190000.0,Series A,2018,Non-tech
2548,HeyHolidays,,Bangalore,Consumer Discretionary,"HeyHolidays, a global player in online vacation rentals.",,,1000000.0,Seed,2018,Non-tech
2549,Pratilipi,,Bengaluru,Communication Services,Amazon's Kindle Direct Publishing for Indian Languages,,,4300000.0,Series A,2018,Non-tech
2553,Silversparro Technologies Pvt. Ltd,,Gurgaon,Information Technology,Silversparro is a deep learning technology solution provider.,,,300000.0,Seed,2018,Non-tech
2555,Emflux Motors,,Bengaluru,Information Technology,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,,,364846.0,Seed,2018,Non-tech
2556,Tricog Health Services Pvt Ltd,,Bangalore,Health Care,Predictive Healthcare Analytics Company,,,4000000.0,Series A,2018,Tech
2557,Scapic,,Bangalore,Information Technology,Virtual/Augmented Reality Start Up .,,,500000.0,Seed,2018,Non-tech
2558,6Degree,,Mumbai,Consumer Discretionary,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,,,400000.0,Seed,2018,Non-tech
2560,Ekincare,,Hyderabad,Health Care,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,,,1500000.0,Series A,2018,Non-tech
2562,Groww,,Kormangala,Financials,Groww offers a new way of investing money.,,,120000.0,Seed,2018,Non-tech
2563,Cell Propulsion,,Bangalore,Unstated,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,,,102200.0,Seed,2018,Non-tech
2564,Chezuba,,Hyderabad,Information Technology,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,,,20440.0,Seed,2018,Non-tech
2566,Wealthtrust,,Mumbai,Financials,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,,,500000.0,Seed,2018,Non-tech
2568,Awign Enterprises,,Bangalore,Utilities,Operations and manpower outsourcing startup,,,730000.0,Seed,2018,Non-tech
2571,Hubhopper,,Delhi,Information Technology,Get your daily dose of interest as summaries from news and magazine stories .,,,500000.0,Series A,2018,Non-tech
2572,Rubix108 Technologies,,Pune,Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,,,1000000.0,Seed,2018,Tech
